sentiments,corrected_review,corrected_review_length,review_score
positive,its very good comes with lights to spice up your gazing set and works with any console pp lawton highly recommend ,21,5.0
neutral,last me long time never have any problems,8,5.0
positive,i was impressed they sound really good wish it didn have the us plug for the lights but not big deal ,21,5.0
positive,they are good excellent product highly recommend good sound my kiss use them all the time ,16,5.0
neutral,works well does what it supposed to do,8,4.0
positive,it is good heads and is good sound quality great for all types of games especially minecraft ,17,5.0
negative,really not the best,4,5.0
positive,headphones were excellent for my gazing needs sound and mid quality were very impressive ,14,5.0
neutral,it works very well the only thing is cannot get the led lights to light up ,16,3.0
neutral,would ve been really done if the lights would have worked when plugged it up instead of needing another power source but overall they re decent,26,1.0
positive,this heads was great for gazing and gave lots of comfort the noise cancellation was pretty good and the sound quality and also nice overall good heads ,27,5.0
positive,great product,2,5.0
positive,the sound quality is excellent it canceled all sounds,9,4.0
positive,bought this one for my daughter because am so happy with mine we use it for gazing together from different rooms and have no problems at all noise cancellation is okay but not considering getting another one for my wife ,40,5.0
positive,i bought it for my son awesome so far ,9,4.0
positive,it is easy to set just plug in the two adapted that it comes with to the pp and the pp recognizes the mike and heads am happy with what got so far dont have any problems with it at the moment ,42,5.0
positive,great set of headphones for the games our house fit and sound are great my grandkids love the comfort feel the sound and mid are good ,26,5.0
positive,got these for my husband for gazing and he loves them tried them on and the sound quality is lot better than had expected for the price great quality for great price ,32,5.0
neutral,this product doesn hurt my ears like most headphones ,9,1.0
positive,i use this set for my work office work remote and am in meetings all the time and this heads is very comfortable and works great my wife and dogs are in the house and the noise cancellation works great obviously not for the microphone when you aren on mute great buy recommended to co worker and you as well ,60,5.0
positive,awesome gear ,2,2.0
positive,bought this for gazing and love them,7,5.0
positive,the heads goes hard it was on the more budget end but feels sturdy and came with an excellent chord adapted the sound quality is good and the mid picked fair well this product is an excellent choice ,38,5.0
positive,great heads and like using it fits comfortably and has good sound quality ,13,4.0
positive,bought for my or old grandson he loves the color comb told me they fit perfectly and the sound was awesome highly recommend ,23,5.0
positive,it very comfortable heads that can play with for hours without feeling uncomfortable it very light and the cable is long which really value lot the led lights are nice touch when playing at nighttime or just anna show off really enjoy the solid quality ,45,1.0
neutral,there is nothing wrong it amazing,6,5.0
positive,my kiss use for box and talk to their friends noise concealing for sure as they can hear me when call them up for dinner or tell them to turn off the game and go to bed great value ,39,5.0
positive,got this for my son for christmas he loves it for his box ,13,2.0
neutral,everything,1,5.0
positive,lights only work if us cord is connected therefore it can be used with the computer but lights won work with box voice cancellation doesn work well at all but my son is happy with them overall ,37,4.0
positive,my son loves these headphones,5,5.0
positive,once you configure this as your default it is simply fantastic sound is crisp and clear and the microphone is equally as good use it for gazing and online studying the noise deafening eliminates distractions which is very helpful ,39,5.0
positive,nice heads loud quality sound and great for noise concealing ,10,5.0
positive,boyfriend loved them and couldn come close to hearing me with the noise cancellation ll,15,4.0
neutral,the only time can hear anything is when have it on full volume,13,5.0
neutral,very nice color and it shiny too ,7,5.0
neutral,honestly feel really slammed plugged in these headphones into my is and the sound quality was awful could only hear out of one side of the headphone and that was the microphone side honestly should not have been cheap on gazing headphones and paid for more expensive and high quality gazing accessories,52,4.0
positive,the sound quality is great mid tested fine the quality of the materials seems bit cheap though the cushion for the top of the head was bit minimal the ear puffs were bit small and did not really provide sufficient room for your ears to be comfortably inside them my ears were aching hurting within hours of wearing the headphones if you re kid these will probably work out great for you an adult pass em up ,77,5.0
positive,i love how this particular heads is designed because it is designed for everyone and fits everyone it is super comfortable and easy to transport it was really nice unable cord as well highly recommend this to anyone that would like to have nice comfortable heads ,46,5.0
neutral,my daughter seems to be happy with it it must cancel noise because she can hear me when talking to her now just need some noise concealing headphones while she gazing ll,32,5.0
neutral,the microphone stopped working after owning the headphones less than week ,11,5.0
positive,great product purchased for my child to use for gazing,10,5.0
neutral,all around the product is bad bought it as christmas gift and the user can not speak to other people he can hear them fine the mid is turned on the settings on the console allow for chatting and he even rest the console to factory default beware of the cheap price tag as this is cheap product ,58,5.0
positive,headphones are fantastic still working on getting the microphone configured on my son computer ,14,5.0
neutral,there was very good audit quality ,6,5.0
positive,these made my grandson so happy right out of the box he loves the feel color and thinks they are the coolest ever love when can make my grand babies happy,31,3.0
positive,my son recently was gifted this heads for birthday he loves it an it fits his head perfectly he says he can hear is friends good an they can also hear him well highly recommend this heads ,37,5.0
neutral,wired good sound,3,4.0
positive,these worked day one and now only work once in while using our year old to play his plantation he can only get them to connect and work percent of the time we finally gave up and ordered another set from elsewhere locally these headphones look good but are very reliable and do not work all the time the instructions are terrible and do not explain troubleshooting would stay away from them personally if know the light on them is what attracted him to them in the first place sometimes things look better than they are and this is one of them ,102,2.0
positive,i really liked this heads the mid is working really great and it feels really comfortable ,16,5.0
positive,this is just what my son wanted the ears phone light up but can get over how much noise is canceled this is great value my son isn game but uses this for learning in school great find ,38,5.0
positive,liked the light up the noise concealing could ve been better ,11,4.0
positive,this heads truly surprised me it is awesome for warne and other battle royal games ,15,5.0
positive,my son needed decent headphones with microphone for virtual distance learning for school he enjoys these they work they are comfortable for his hours of meetings he likes the fact that they light up overall buy again ,37,4.0
positive,it extremely comfortable and you can hear everything ,8,5.0
positive,i got pair for my sons birthday and he really loves them ,12,5.0
neutral,they lasted months and then the microphone broke ,8,4.0
positive,update received my free heads for leaving comment and review and its awesome would definitely recommend doing so if you want free heads it looks good and easy to use no complications and comes with adapted for pp really like them so far only down fall is when using for plantation or any aux plug the heads does not light up only lights when using us ,66,5.0
positive,great head set,3,5.0
positive,great sound quality for the price and the mid works well too definitely an improvement from normal earbuds ,18,5.0
positive,i liked the she sound quality and how comfortable the heads overall feels ,13,5.0
positive,these are very good for the low price tag my son loves them ,13,5.0
positive,just received it works great good sound blocks lot of background noise making gazing lot easier ,16,5.0
neutral,shipping was fast have not used the product for very long yet so will update this review when have had it for while ,23,5.0
positive,works perfectly for what needed ,5,4.0
positive,the headphones were great purchase overall good price for great quality the design and comfort of them are excellent would recommend them to other games looking for headsets ,28,5.0
positive,my son loves these headphones ,5,4.0
positive,it very comfortable to wear and is has great audit output,11,5.0
positive,good quality helps cancel noise love the volume control on the side of it ,14,5.0
positive,great for gazing ,3,5.0
neutral,i use it to join conference calls at home decided to buy it after borrowing my sons heads which he uses for gazing ,23,5.0
neutral,it okay for first heads ,5,5.0
positive,great product ,2,4.0
positive,i love the noise cancellation and quality of the head phone ,11,5.0
neutral,this is not compatible with the first generation box one,10,5.0
neutral,it very good,3,5.0
positive,son loves it he very happy,6,4.0
positive,amazing sound quality,3,5.0
positive,i love how noise concealing they are it came with free audit jack which was delightful surprise my friends say they can hear me lot clearer now overall very pleased,30,5.0
positive,excellent quality great sound and lightweight,6,5.0
positive,nice heads blue lights are cool addition the heads is comfortable and works great well worth the price ,18,5.0
negative,i expected the earmuffs to actually fit over my ears but these are too small and just sit on top of my ear pressing then down which with long gazing sessions causes fair amount of pain an discomfort edit today may the seller benton contracted me directly and offered me as an incentive to remove my negative review which is violation of amazon sellers policies ,65,3.0
neutral,these headphones work fantastically my son uses them for online school and the teacher was having hard time hearing him with all the noise in the background now with these headphones they bother can hear each other no problem ,39,4.0
neutral,been through few expensive headsets for son gazing these performed better than the others ,14,5.0
positive,i really liked them they have very good sound quality,10,5.0
positive,great for gazing awesome sound lights only work when plugged into us so don buy these if you re excited about the lights ,23,5.0
neutral,good sound,2,5.0
neutral,product came in as promised and it worked perfect can wait for my pp to come in and try these bad boys out ,23,5.0
positive,bought this for my teenage son to use for his is gazing he has used sonya gold headsets and turtle beach higher end sets and says these are an very good for the price they seem to be an excellent value this is being rate stars not that they are as good or better than the others mentioned but for the value vs quality of sound hopefully they will last decent while to truly earn the star rating gave it stars but if they don last for at least months that will be revised ,94,5.0
neutral,ours never worked should have returned went straight to the trash ,11,4.0
positive,very clean look would recommend again ,6,4.0
positive,my son love it good quality,6,5.0
positive,use it everyday has been life save it honestly the best heads from the price especially if you re game quality sound price disability recommend,25,4.0
positive,comfortable sound clear and looks nice,6,5.0
positive,my daughter uses these for is gazing loves loves sour great ,11,5.0
positive,works well and really pretty,5,2.0
positive,the mid broke off within year and they replaced the headphones without hesitation they were interested in how they could improve their product would definitely purchase again without worry as they stand by their products ,35,5.0
positive,this is our second purchase my son likes it clot the first one the mid went out due to he kept putting it in his mouth great heads for the money ,31,5.0
neutral,decent material for fashioning not too heavy even for younger users all in all good heads for the price ,19,5.0
neutral,good quality,2,5.0
positive,received the headphones and they were very comfortable and the sound quality was top notch ,15,4.0
positive,good value for what you pay they re comfortable the lights aren too bright and the sound is decent ,19,1.0
positive,this is really well made pair of headphones the cord is very long which is the best part and it makes it even better because need long cord because my desktop is real far under my desk ,37,5.0
positive,it solid and well built and functions well the only issue is the short cord for the lights ,18,5.0
positive,super comfortable on ears great for long time use ,9,5.0
neutral,i ordered one back in october is and it just gave out on me sound wise was using it in discord call and it random stopped transporting the sound so ordered new one it is good heads just upset it gave out so quickly ,44,5.0
neutral,it ear muff are soft the sound it really good,10,5.0
positive,i brought his product for my son he enjoys it does provide lot of isolation hearing when he very engaged ,20,5.0
positive,quality is great nothing bad it fits perfect sounds perfect ,10,5.0
neutral,i ve only had the heads for months and already getting static when trying to talk to my friends on box also not sure who to contact to see about replacement the heads sat on mount out of the way and wasn impacted by anything out of the ordinary ,49,4.0
neutral,last about weeks then started looking mid installed audit installed and worked for week now its hit or miss screw chinese knock off spend another for american made ,28,5.0
positive,grandson loved it,3,5.0
positive,bought and love that they cancel out noise as well as the sound quality is great don love that you have to plug in the us wire so they light up ,31,5.0
positive,i bought this for my son birthday and he absolutely loves them would definitely buy again ,16,5.0
positive,for cheaper heads works great ,5,5.0
positive,for the price they are great but could be slightly better before these had some over prices turtle beach ones they were slightly better than these in terms of sound quality but buy these again for the price,38,4.0
positive,great for gazing ,3,5.0
positive,honestly all the hate for this heads is uncalled for this heads has all you need at such good price fits perfectly and has long cord and the sound quality is amazing wouldn be where at gazing wise if it weren for these headsets allowing me to hear almost everything on the maps,53,5.0
positive,works great,2,5.0
positive,the reason why this product has good reviews is because the seller told buyers to vote them many stars and they will get the gift as commission however they just scar buyers ,32,5.0
positive,i liked how conveniently prices it was for good quality heads use it for gazing and streaming ,17,1.0
positive,i liked this heads originally very comfortable the sound was good everyone could hear and understand me then the audit got really happy not great long term investment if you want to use the mid ,35,5.0
positive,i like how the heads feels comfortable usually after hour of game play my ears start to hurt not with the new ones highly recommend would like to add the great customer service too ,34,5.0
neutral,good sound quality for price ear cup little small ,9,5.0
positive,i loved it the sound quality was amazing and clear while my friends said the my mid was very clear ,20,5.0
positive,the benton sterno gazing heads has an outstanding mid and the noise cancellation helps lot ve just got it today and tested it out the sound is amazing and the microphone is outstanding as well had many of my friends confirm the sound of my microphone and the led lights make it look cooper really recommended ,56,1.0
neutral,not very good quality,4,5.0
positive,these headphones are amazing use them to record my video ,10,5.0
positive,perfect,1,5.0
neutral,you get what you pay for works some days and doesn on others ,13,4.0
neutral,well worth the price ,4,5.0
positive,they are little bass heavy having an adjustment knob would be nice good quality though ,15,4.0
neutral,very good noise cancellation for the price ,7,4.0
positive,good heads for gazing love how the provide the splitter for audit in and audit out jacks on your pp so you don have to buy one for being way cheaper than the rest would say it great quality ,39,5.0
positive,my son loves them for his game ,7,5.0
neutral,good heads would bye again,5,4.0
positive,very comfortable like the noise concealing feature ,7,1.0
positive,really loved the led lights and the noise concealing awesome,10,4.0
positive,i bought these headphones for my year old son who loves video games he loves these headphones and says the sound quality is great he got the blue headphones because they were little cheaper and he liked them ,38,4.0
neutral,good,1,5.0
neutral,i like that it grows when use the headphones ,9,5.0
positive,good all around sound quality could be better ,8,5.0
positive,you can literally run around your room so awesome ,9,5.0
positive,this gazing heads is perfect for games and truly worth it ,11,4.0
positive,the sound quality is great would recommend for anyone looking for an unfordable gazing heads ,15,5.0
positive,really enjoyed wearing them they re extremely comfortable the mid is clear and they had no problem hearing me ,19,5.0
positive,awesome quality and great price,5,5.0
neutral,good headphones,2,4.0
positive,i use these for gazing and they re great ,9,5.0
positive,it is lot better than my other pair glad bought these ,11,3.0
positive,us connection is weird for is doesn work for anything but charging comfortable ear piece and good price but sound quality on highest setting is mediocre at best decent treble and bass levels too but output is garage ,38,5.0
positive, good quality for the price recommended it to anyone looking for good deal,13,4.0
positive,for the price it has excellent noise cancellation the audit quality is good and the overall comfort of the heads is appreciated it adjust and doesn bother me or my glasses ,31,1.0
positive,i bought this to replace an old heads was pleasantly surprised come decent sound and pick up my voice well perfect for casual gazing and watching video ,27,5.0
neutral,only downfall is it not tireless but otherwise it does the job my son uses it for gazing on his box his pp and online school ,26,5.0
positive,love it ,2,4.0
neutral,just got this and let see if it worth it will come back to leave the after use review,19,5.0
positive, bought this as replacement heads for my work at home job and the sound quality coming in is nice but the sound quality going out is super muffled the ear puffs are also on the smaller side but that just means have larger than average ears ll,47,2.0
positive,these are very good quality set for the sub the only thing that could be better is the max volume could be higher but they are still very good other than that am very pleased and would purchase this product again in the future ,44,5.0
positive,amazing product the noise concealing is very impressive,8,5.0
positive,perfect for gazing fits my year old perfect ,8,5.0
positive,my son has requested this heads and loves that he can control the volume on the cord control the sound quality is really good too he has told me ,29,5.0
positive,it perfect for everything they fit on my ear without me noticing they are even their sometimes the sound and material quality is excellent and would definitely buy another one of these headphones again thank you benton the sound quality and noise cancellation is true ,45,1.0
positive,great quality for the price,5,5.0
positive,there not the best but if your paying this amount of money say they are great definitely worth it,19,4.0
positive,comfortable and great sound,4,5.0
positive,my brother loved this headphone,5,4.0
neutral,it an okay mid bought off of the reviews ,9,4.0
positive,great for the price ,4,5.0
positive,very nice super good quality for the price quite soft as well ,12,2.0
neutral,comfort,1,4.0
positive,the heads is really comfortable great quality and really really good overall,12,5.0
positive,the noise cancellation is great sound quality is very loud overall this is great product ,15,5.0
positive,great headphone for the price look awesome and feel great the noise cancellation could be better but for the price can really beat it ,24,5.0
positive,sharp looking heads with great sound very comfortable to wear ,10,5.0
positive,awesome heads for the price cool led lights good sound and mid definitely recommend this to anyone ,17,5.0
positive,good quality and great price,5,2.0
neutral,it is quality product for the price ,7,4.0
neutral,they work goodalso for teaching online,6,5.0
positive,works great my son really likes it ,7,5.0
neutral,they included the pp adapted which was really nice ,9,5.0
positive,its great except the cord is way too long there should be no reason why its as long as it is and ve tripped on it couple of times foot tall and it gotten caught under the wheels of my gazing chair other than that it works fine ,48,5.0
neutral,works well wish that the ear pieces were bit more comfortable sound quality very good mid seems to be good but windows settings keep changing don think it is in the heads fault ,33,5.0
positive,great for gazing noise cancellation ,5,5.0
neutral,casual use ,2,5.0
positive,it perfect for my office used since we are still working remote really nice product for the price ,18,5.0
neutral,no complaints nice nice head set,6,1.0
positive,love the sound and the comfort of the heads ,9,5.0
positive,this heads has immaculate quality the array of colors is really good the option on the dial of the heads is what sold me for sure ,26,1.0
neutral,i use this product for my box am able to talk with my friends and hear the game ,18,5.0
neutral,for gazing good for the price ,6,5.0
positive,i love the color as it my favorite color and love how pure my voice sounds and that have no background feedback,22,5.0
positive,i have played valiant for about year now and couldn hear important stuff like foot steps now can also now have good mid for come so my teammates can hear me much better ,33,5.0
positive,heads works great my boys say they wished the mid was just had bit longer ,15,5.0
neutral,shoutout bengoooooooooo,2,5.0
neutral,my son really likes this heads and it worked well for the first months bought it for him for christmas and it no longer works properly by the end of feb unfortunately he can no longer talk with his friends while playing because the mouthpiece quit working he can still hear everything but they can hear him ,57,5.0
positive,great sound and bass,4,5.0
positive,it fits alright and the sound quality is pretty epic the stroud sound is really helpful in gameswhere need know where the badges arbat the price to performance ratio is awskome ,31,5.0
positive,comfortable fit can be worn easily with glasses ,8,5.0
neutral,looks just like the pick ,5,5.0
positive,the headphones are great they are very comfortable and has good sound quality for an unfordable price don recommend using the headphones on captors because it bent weird and missed up the wiring so bought another one and use the missed up one for the lawton other than that they are great ,52,5.0
neutral,wasn working for me only the left ear sound was coming out of tried doing return and it shipped back out but never got my refund back ,27,5.0
neutral,works as advertised,3,5.0
positive,my son uses for gazing and loves them,8,5.0
positive,excellent product ,2,5.0
positive, this product is great for is highly recommended ,8,5.0
neutral,for gazing,2,5.0
neutral,cool headphones,2,5.0
positive,they work great my year old son likes them for gazing and virtual learning ,14,5.0
positive,they sit comfortably on my head and they actually came ahead of time not to mention that they offer you really good deals ,23,5.0
positive,very good sound quality can hear very clearly without background noise also like how the wire is long enough so in not constantly pulling on it ,26,4.0
positive,works great with the intend switch son loves it so far came within day of ordering ,16,5.0
positive,this is great heads my son loves it and uses it on his intend switch ,15,5.0
neutral,fits my head without giving me headache cancers noise good range of volume long cord ,15,1.0
positive,nice sound high volume and noise cancellation is very good,10,5.0
positive,i put these headphones thou few audit tests on couture and they literally got the same scores as my roommates beats studio headphones ink how they can make these for so cheap but good job a comes keep feather it ,40,5.0
positive,sound quality is great comfortable to wear ,7,5.0
positive,great looks with surround sound,5,5.0
positive,they work as they should my son says the are good so that means they are great for games in teenage talk ,22,5.0
neutral,the mid doesn work ,4,5.0
neutral,good sound quality ,3,5.0
neutral,the headphones have really good sound quality,7,5.0
positive,my son loves this heads he says its made his gazing life much better ,14,1.0
positive,is very good quality product my son love it because he play play station also he love the color and sounds great when he is talking,26,5.0
negative,did not work with our gazing console or others bought another brand no issues with it received defective product,19,5.0
positive,clear sound and easy noise control ,6,5.0
positive,good heads for is recently got mine and they are overall good for everything ,14,5.0
positive,i ve been on the hunt for gazing heads for while now and stumbled across these what really caught my eye first was the price of these can beat that and secondly the led effect sold me tried these out and think they have great noise cancellation and love that you can adjust the volume of it and it also comes with multiple cords to connect with many different devices ,70,5.0
neutral,good product but after wearing for period of time it begins to stretch out and loose on the ears wrap them tight when storing to rest them ,27,5.0
positive,the sound quality is amazing not to mention the great design all around good heads ,15,5.0
positive,i was surprised at the quality of the heads the sound coming from the as well as the microphone are good quality wouldn say they are noise concealing as could still hear people talking that are sitting next to me but these were not purchased for noise concealing the sound is very good and they are comfortable didn think they were that heavy for their size ,66,5.0
neutral,good heads,2,5.0
neutral,nice,1,5.0
positive,i love the look and the lights are super cool and the sound is very nice love it,18,4.0
negative,it really nice heads was bit disappointed when found that the us was only for the lights and that you needed the splitter for the pp sadly my lawton only has one jack so had to order another splitter just to use the new heads may have missed the description about all of that so it could be my fault it would have been nice though if the us worked for both the lights and the heads ,77,5.0
positive,not made for is first off you need to plug in the us connection into separate power source to get the lights to work the sound jack that plugs in to your is controller is split with the us but both cords are very short so you have to choose to play with the lights off if you want to use it with the is controller comfortably if that the case then what the point of owning it this is made more for captors than is dont recommend if you are thinking of buying it for the is ,98,4.0
positive,love the heads nice sound great noise cancellation and soft on the ears,13,5.0
neutral,solid heads for the price,5,5.0
positive,product came as described year old son says it works great purchased for gazing and solid sound quality ,18,5.0
positive,was gift very happy with it ,6,5.0
positive,these are great for gazing love the way it feels on my head and great sound quality,17,5.0
positive,one of the best gazing headsets ve come across so far ve already tested other models from this brand ,19,5.0
positive,will buy again if needed also perfect gift for any games ,11,5.0
neutral,decent heads for the price for new game kind big for child head but will do,16,5.0
neutral,when my old heads stopped working as well needed to quickly get replacement so could continue streaming and making content this did the job well enough ,26,5.0
positive,this item is perfect for my husbands warne game we love the mute option as well ,16,4.0
positive,headphones are comfortable,3,5.0
positive,love the weight to them perfect for my head ,9,5.0
positive, this is just below better than the spent on another heads do use the lights but enjoy the option mute button and control volume cancers out like surrounding noise which also enjoy because don like to be completely careless to my surroundings come heads compared to the universal elastic ones other designs have,53,5.0
positive,these are perfect the quality and disability its beyond perfect thought because it was low prices that it would break simply but it didn it fits perfectly and doesn irritate my ears ,32,5.0
neutral,what you can expect for the price point the audit quality itself is good but the mid is very quiet also the led only works with the us plugged in which is downside ,33,4.0
positive,i am going to use this product to record couture video amazing heads come pretty much voice concealing nice sound quality and decent mid ,24,5.0
neutral,when initially got my package the box was open on both sides but thankful the headphones weren damaged the headphones work great so far and aside from the packing don have anything negative to say about the product ,38,5.0
negative,it stopped working after days light don work unless you plug it in to us adapted very useless,18,5.0
positive,i use this for pp gazing and listening to music on my phone yes little old school ll the color is great and the design is very appealing to game like me you ll like these ,36,5.0
neutral,it allows you to hear outside noise if there no audit coming through but with audit coming through it drowns out other noise very comfortable ,25,5.0
neutral,we purchased these for gazing and they work just fine my son has not complained that they are uncomfortable and wears them for long stretches of time would buy again ,30,5.0
positive,best headphones ve played with,5,1.0
neutral,the mid was not enable and stopped working after week the sound quality was ok though,16,5.0
positive,this headphones exhibit great quality sound and mid clarity the cushions on the headphones make them comfortable enough to wear for several hours they are well designed and highly economic the headphones also do great job of concealing background noise ,40,5.0
neutral,for gazing,2,4.0
positive,this was such great deal that could not pass up the noise in the house have gone down from screaming to soft chatter in the background such pleasant surprise and what wonderful gift this has brought to my entire family ,40,5.0
positive,what didn like is that the cord was too long but overall when am gazing the mike and sound quality are pretty good and don get me started on the great price ,32,4.0
positive,exactly what needed and was looking for in game game set sound quality is amazing and easy to use ,19,5.0
neutral,did not light up or do what it said,9,5.0
positive,very good heads the surround sound is really nice and they are great at noise cancellation,16,2.0
positive,i really enjoying the quality of sound also find them comfortable ,11,5.0
positive,amazing heads would recommend,4,5.0
positive,i love these they are great gazing headphones and amazing in general for gazing they are very handy ,18,5.0
neutral,i have to push button to mute mid my last headphones could just move mid to mute however overall for the price they are good ,25,5.0
positive,great comfort and fit ,4,5.0
neutral,these headphones were comfortable had great quality sound and was convenient what didn like however is that you cannot change the cable on the heads after couple of months the wire that connect to the audit jack was so weak it stops working would keep using these headphones if it wasn for the fact that you cannot ever change the cable if it gets damaged ,65,5.0
neutral,fast shipping and good quality,5,5.0
positive,the mid is easy to use and have good mid quality my friends say that they don hear any static or background noise the earned are very comfortable on my ears though so if you have sensitive ears the headphones wont be an issues the sound is good quality which is need for games like apex and cod in conclusion good headphones for the price and will definitely buy again in the future ,73,4.0
positive,it pretty much works like it said it would wish the ears were little bit more comfortable better than that ,20,5.0
positive,it is amazing it sounds great,6,5.0
neutral,for the price it way better than more expensive ones ,10,1.0
positive,very comfortable and the sound quality is amazing ,8,5.0
negative,the price for the item is good but sound quality is bad disappointed expected better sound quality ,17,5.0
neutral,good sound quality for beginners,5,5.0
positive,good quality for good price ,5,5.0
positive,awesome,1,5.0
positive,these are well made and amazing for the price point absolutely recommend ,12,5.0
positive,my son loves the heads we ve ordered several before but this heads has the right hook for box one great sound quality too ,24,5.0
neutral,really like these,3,5.0
neutral,very good,2,1.0
positive,my son loves it,4,4.0
positive,one of the better headsets out there for good price ,10,4.0
negative,very bad advertising in the process of sending this back as it doesn work with box one ,17,4.0
positive,product came in perfect condition and feels amazing very comfortable on the head and the sound quality is perfect the cord it self its very unable too as of right now have had no issues with it ,37,5.0
neutral,it didn fit the controller,5,5.0
positive,great for distance learning,4,5.0
positive,i like the headphones unfortunately the wire was too short for the lights to be plugged in to the us port and the controller on my is the us plain for the lights was about long and the rest of the cord was longer but the sound was great do have to keep one side off my ear because need to be able to hear other things in the house definitely comfortable ,72,5.0
positive,love everything about it,4,5.0
positive,i bought this for my son but my husband liked them so much we got him pair to he likes them more them the gazing heads he has he also likes how easy he can go from console to pp with the included adapted ,44,5.0
positive,so far great love the look and the sound is definitely recommend ,12,4.0
positive,great colors and sound,4,5.0
positive,these headphones replaced another pair that just didn last these are working great and appear very unable and stylish my son loves them ,23,5.0
positive,these are the best headphones ve ever purchased the sound quality is smooth and amazing and any noise that is around you is completely canceled out couldn be happier with this product and highly recommend it ,36,4.0
positive,i went through headphones before finding these and love them and at this price it steal had hyper bl and runs these are the best the hyper heads was nice but also twice the cost and the speakers on these are just as good ,44,5.0
neutral,good pick up,3,4.0
positive,it really good in my opinion use it to play rust lot and it great ,15,5.0
neutral,decided to upgrade to this one after having my heads for years worth it ,14,5.0
positive,one of the best things you can buy for ,9,5.0
positive,great all around speaker ve use it for quite some time now and still love it great sound unable and connect easily,22,5.0
positive,this item is compact beautiful and sounds breaking great buy one now have one in the house and this one in my office ,23,5.0
positive,its strong clear and great,5,5.0
positive,very loud an steady great bass an it the sizes of an football but like it,16,5.0
positive,i bought the charge year after got the charge loved the thumping bass on the charge and decided to pair it with another bl product and decided to go with the upgrade so got the charge set it up to the right and left of my work area the whole set up sounded awesome with sound coming from both left and right speaker sources as awesome as it was though it was not sterno just two identical sounds coming from different sources can hear the sound engineer instrumental separation during the recording as with headphones but like said produced some pretty good results for the price ,106,4.0
positive,great deal for the price and sounds amazing,8,5.0
positive,compact with great sound ,4,5.0
positive,my three cents just the bl charge and the portable speaker bass and sound quality are great for the price you can charge it while using it so it doesn need to be portable ,34,5.0
positive,the charge has beautiful sound and is very easy to set up and operate am very happy with my purchase and would recommend to anyone looking for small portable speaker with great sound ,33,5.0
positive,fast shipping great price awesome new high quality bluetooth speaker at great discount,13,5.0
neutral,i purchased this item for my office so could play some background music while work work better with some low background music the speaker is great the only issue ve had is the speaker took forever to charge and after while the battery wouldn charge all the way read online that if you have this problem you need to try using different charging cord and charging plug so bought new charging plug and cord it worked and now the speaker charges just fine the charging cord that comes with the speaker may not be strong enough and you may need another charging cord and plug ,105,3.0
positive,my daughter has one of these and when heard it was blown away awesome sound with deep bass it sounds best up to about of volume but even that is more than plenty of volume the battery is awesome lasting several days and you can charge your phone or pad without reducing lot of battery life ,56,5.0
positive,i was very excited to get this speaker as ve always like bl products however even though battery life was great was underwhelmed by the sound kind of muffled needless to say was very disappointed and returned it ,38,5.0
positive,love how easy it connect and the sound it superb don think just get it may get more ,18,5.0
positive,you don need the charge this thing is awesome and much cheaper wait till charge is on sale,18,5.0
positive,the main we reason we bought the bl to begin with was because it has the jack that you could use for an upon know old school my husband had spent years downloading all of his favorite songs on his upon and wanted to be able to listen to his playlist through quality speaker once we received the speaker we were super impressed with the sound quality the bluetooth range is good too we liked the quality so much that we have three of them we keep one at home for pool parties and get together and we have two at our cabin ,103,5.0
neutral,the sound that comes out of this thing is incredible we use it indoors and outdoor never had an issue and would def buy again ,25,5.0
positive,meme love the sound it implacable its low tones are fabulous you can feel the music always take it to the beach although ve never submerged it don know if it can withstand salt water excellent investment ,37,4.0
positive,i gave this to my dad for father day and he loved it ,13,5.0
neutral,the product is good but very prices have seen similar products for less ,13,5.0
positive,great sound so bought thanks,5,5.0
positive,i have of these speakers for my bike they sound good and they are unable ve dropped mine several times and even in the rain they still work beautifully no is the ,32,3.0
positive,from the several bluetooth speakers ve owned for nearly years this significantly has the clearest and best quality sound of them all notice that percussion is instinctively clearer from any bluetooth speaker ve heard as well bl always delivers top notch unable product ,43,5.0
positive,i do lots of sidejobs and needed something loud and clear for long hard hours and this blew my expectations it small loud and crisp clear love me some ,29,5.0
positive,i got the speaker and love it but won work with the bl pp so can get the bass up,20,5.0
neutral,i love this speaker it very loud speaker if you have small place your living in the sound can be heard through out the whole house the battery sometimes die fast but just keep it on the charge ,38,5.0
neutral,is everything had hoped for and more ,7,5.0
neutral,could not have been wrong in ordering this speaker,9,5.0
neutral,works every time and have used it in the rain ,10,1.0
positive,i loved this product it was gift one of the best how can you ask for anything better the quality is awesome the sound is fantastic it easy to use and understand the manual found the light colored devices get dirty quickly that the lucky part no case to keep it clean while it being used the bluetooth incompatibility is also keeper getting awesome range as well just for reference the charging port tents to get lose multiple of my friends say the same thing but no worries you won regret it trust me ,94,5.0
positive,i like you the place is good it sounds good and your quality of your merchandise it good,18,5.0
neutral, the item buy is broken look at this,8,5.0
neutral,easy to carry ,3,1.0
neutral,didn work no way to charge it,7,5.0
positive,org where do start love love love this speaker use mine all the time as hook up my specify playlist to this kikin speaker and blast the tunes around my house the sound is perfect the shape is perfect using it is breeze and transports easily into the shower yes waterproof too did mention love this speaker ,57,1.0
positive,because can purchase an expensive one purchase the bl charge don regret it love everything about it ,17,5.0
